player_name,player_id,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG,POSITION
Isaiah McKenzie,00-0033466,WR156,521,WR128,315,WR122,314,WR
EJ Manuel,00-0030526,QB73,522,,,,,QB
Jacob Hollister,00-0033387,TE90,523,,,,,TE
Wayne Gallman,00-0033950,RB75,524,RB101,310,RB81,292,RB
Garrett Dickerson,00-0034795,TE91,525,,,,,TE
Kapri Bibbs,00-0031102,RB123,526,RB104,316,RB100,315,RB
Eli Rogers,00-0031782,WR195,527,,,,,WR
Chad Henne,00-0026197,QB74,528,,,,,QB
Aldrick Robinson,00-0028116,WR164,529,WR133,323,WR126,319,WR
Braxton Berrios,00-0034419,WR196,530,,,,,WR
Chris Matthews,Chris Matthews,WR157,531,WR129,317,,,WR
Pierre Garcon,00-0026345,WR197,532,,,,,WR
Luke Willson,00-0030089,TE92,533,,,,,TE
Akeem Hunt,00-0031743,RB163,534,,,,,RB
Alfred Morris,00-0029141,RB76,535,RB79,244,RB75,250,RB
Spencer Ware,00-0030414,RB116,536,RB95,299,RB93,304,RB
Noah Brown,00-0033591,WR198,537,,,,,WR
Robert Foster,00-0034510,WR99,538,WR79,207,WR88,214,WR
Daniel Brown,00-0032098,TE93,539,,,,,TE
Jerell Adams,00-0032429,TE94,540,,,,,TE
Eric Tomlinson,00-0031690,TE95,541,,,,,TE
Isaac Whitney,00-0033449,WR199,542,,,,,WR
LeShun Daniels,00-0033384,RB164,543,,,,,RB
Maurice Harris,00-0032362,WR122,544,WR91,257,,,WR
Connor Cook,00-0032893,QB75,545,,,,,QB
John Kelly,00-0034808,RB165,546,,,,,RB
Jeremy Hill,00-0031301,RB166,547,,,,,RB
Dan Arnold,00-0034011,TE96,548,,,,,TE
Arizona Cardinals,ARI,DST30,549,DST22,251,DST24,246,DST
Darren Sproles,00-0023564,RB80,550,RB117,366,RB104,326,RB
Matt Schaub,00-0022787,QB76,551,,,,,QB
Austin Seibert,00-0035145,K29,552,K13,253,K16,243,K
Mike Weber,00-0035303,RB167,553,,,,,RB
Matt Gay,00-0035269,K28,554,K19,277,K21,268,K
Scott Tolzien,Scott Tolzien,QB77,555,,,,,QB
Brandon Weeden,00-0029677,QB78,556,,,,,QB
Dontrell Hilliard,00-0034253,RB77,557,RB75,236,RB74,264,RB
Brandon Zylstra,00-0034052,WR200,558,,,,,WR
Jeff Heuerman,00-0032227,TE97,559,TE51,361,TE49,327,TE
Justin Watson,00-0034386,WR186,560,WR157,373,,,WR
Jarrett Stidham,00-0035264,QB79,561,,,,,QB
