player_id,player_full_name,player_name,POSITION,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG
00-0035640,DK Metcalf,D.Metcalf,WR,WR15,31.3,WR16,35.3,WR16,36
00-0033897,Joe Mixon,J.Mixon,RB,RB12,33,RB12,30.7,RB12,30
00-0039139,Jahmyr Gibbs,J.Gibbs,RB,RB13,33,RB13,32,RB13,31
00-0034796,Lamar Jackson,L.Jackson,QB,QB4,34,QB4,34.7,QB4,32.5
00-0034837,Calvin Ridley,C.Ridley,WR,WR16,34.5,WR15,34.7,WR15,34.5
00-0036442,Joe Burrow,J.Burrow,QB,QB5,34.8,QB5,37,QB5,34
00-0033293,Aaron Jones,A.Jones,RB,RB14,37.3,RB14,37.7,RB16,39.5
00-0035719,Deebo Samuel,D.Samuel,WR,WR17,38,WR17,38,WR17,38.5
00-0038120,Breece Hall,Bre.Hall,RB,RB15,40.8,RB17,43.3,RB17,46.5
00-0031544,Amari Cooper,A.Cooper,WR,WR18,42,WR18,40.7,WR18,42
00-0030279,Keenan Allen1,K.Allen1,WR,WR19,43.5,WR19,43.3,WR19,42.5
00-0036355,Justin Herbert,J.Herbert,QB,QB6,43.5,QB6,44.3,QB6,40
00-0038134,Kenneth Walker,K.Walker,RB,RB16,43.8,RB16,41,RB14,38.5
00-0036945,Justin Fields,J.Fields,QB,QB7,44.3,QB7,46,QB7,45.5
00-0035229,T.J. Hockenson,T.Hockenson,TE,TE3,45.3,TE3,45,TE3,46.5
00-0037258,Dameon Pierce,D.Pierce,RB,RB17,46.3,RB15,41,RB15,39.5
00-0036223,Jonathan Taylor,J.Taylor,RB,RB18,47.8,RB18,47.3,RB21,57
00-0033288,George Kittle,G.Kittle,TE,TE4,49.5,TE4,50.3,TE4,51.5
00-0031610,Darren Waller,D.Waller,TE,TE5,50.5,TE5,54.7,TE5,53
00-0035243,Miles Sanders,M.Sanders,RB,RB19,50.5,RB20,50,RB19,49.5
00-0033589,DJ Moore1,D.Moore1,WR,WR20,50.8,WR20,50.7,WR20,51
00-0030098,DeAndre Hopkins1,D.Hopkins1,WR,WR21,52.5,WR21,56,WR22,55
00-0035659,Terry McLaurin,T.McLaurin,WR,WR22,54.3,WR22,57,WR21,54.5
00-0036971,Trevor Lawrence,T.Lawrence,QB,QB8,55,QB8,55.3,QB8,55
00-0038124,Christian Watson,C.Watson,WR,WR23,55.3,WR24,61.7,WR23,58
00-0033536,Mike Williams,M.Williams,WR,WR24,60.8,WR28,67.7,WR24,63
00-0036158,J.K. Dobbins,J.Dobbins,RB,RB20,61.3,RB19,47.3,RB18,47.5
00-0033906,Alvin Kamara,A.Kamara,RB,RB21,61.5,RB28,71.3,RB27,63
00-0036970,Kyle Pitts,K.Pitts,TE,TE6,62.3,TE7,64.7,TE7,69
00-0034972,Alexander Mattison,A.Mattison,RB,RB22,62.8,RB21,52.7,RB20,51.5
00-0033893,Dalvin Cook,D.Cook,RB,RB23,63.5,RB26,66,RB28,64
00-0034351,Dallas Goedert,D.Goedert,TE,TE7,63.8,TE6,64,TE6,68
00-0036414,Cam Akers,C.Akers,RB,RB24,64,RB22,57.3,RB22,57.5
00-0033553,James Conner,J.Conner,RB,RB25,64.5,RB23,60.7,RB26,62.5
00-0037256,Rachaad White,R.White,RB,RB26,65.5,RB27,69,RB25,62.5
00-0037238,Drake London,D.London,WR,WR25,66.8,WR23,60.3,WR25,64
00-0033921,Chris Godwin,C.Godwin,WR,WR26,67,WR27,65.7,WR27,67
00-0032211,Tyler Lockett,T.Lockett,WR,WR27,70.5,WR25,63,WR28,70
00-0037248,James Cook,J.Cook,RB,RB27,71.3,RB24,63.3,RB24,62.5
00-0036261,Brandon Aiyuk,B.Aiyuk,WR,WR29,72,WR26,64.3,WR26,65
00-0036407,Jerry Jeudy,J.Jeudy,WR,WR28,72,WR32,78.7,WR33,77.5
00-0037197,Isiah Pacheco,I.Pacheco,RB,RB28,72.5,RB29,72,RB30,71.5
00-0032975,Javonte Williams1,J.Williams1,RB,RB29,72.8,RB25,64.3,RB23,62
00-0036275,D'Andre Swift,D.Swift,RB,RB30,74.3,RB30,73.3,RB29,67
00-0035216,Diontae Johnson1,D.Johnson1,WR,WR30,74.8,WR30,75.7,WR31,77.5
00-0031408,Mike Evans,M.Evans,WR,WR31,75.8,WR33,80.3,WR32,77.5
00-0033537,Deshaun Watson,D.Watson,QB,QB9,76,QB10,87.7,QB9,84
00-0034775,Christian Kirk,C.Kirk,WR,WR32,76,WR29,75,WR29,71.5
