player_id,player_full_name,POSITION,player_name,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG
00-0033025,Jalen Richard,RB,J.Richard,RB71,221.5,RB80,255,RB81,270
00-0033567,Brian Hill,RB,B.Hill,RB72,222.5,RB75,226,RB71,221
00-0029632,Mohamed Sanu,WR,M.Sanu,WR94,223,WR85,235,WR84,246
00-0025580,Mason Crosby,K,M.Crosby,K15,223.3,K12,222,K12,212.3
00-0027793,Antonio Brown1,WR,A.Brown1,WR70,224.3,WR71,178,WR73,193
99-9999999,Colin Kaepernick,QB,C.Kaepernick,QB36,225,,,,
00-0036336,Anthony McFarland,RB,A.McFarland,RB73,226.5,RB74,221,RB74,231
00-0031806,Malcolm Brown1,RB,M.Brown1,RB74,229,RB73,216,RB69,214
88-8888888,Atlanta Falcons,DS,A.Falcons,DST22,229.5,DST20,212,DST21,222
00-0030085,Kenny Stills,WR,K.Stills,WR78,230.5,WR78,205,WR77,211
00-0030456,Giovani Bernard,RB,G.Bernard,RB75,234.5,RB76,229,RB79,251
00-0036326,Chase Claypool,WR,C.Claypool,WR79,235.5,WR74,214.5,WR85,252
00-0028087,Dion Lewis,RB,D.Lewis,RB76,238.5,RB83,269,RB83,278
00-0034378,Ito Smith1,RB,I.Smith1,RB77,239,RB85,281,RB80,269
00-0033114,Mike Thomas2,WR,M.Thomas2,WR96,239,,,,
00-0031492,Jason Myers,K,J.Myers,K16,239.7,K24,291,K15,245
00-0036365,Bryan Edwards,WR,B.Edwards,WR67,239.8,WR68,187.7,WR64,181.5
00-0029822,Brandon McManus,K,B.McManus,K17,240.7,K18,265,K13,221
00-0027696,Jimmy Graham1,TE,J.Graham1,TE26,241,TE20,199.5,TE34,268
00-0035145,Austin Seibert,K,A.Seibert,K21,241.5,K16,243,K17,265
88-8888888,Las Vegas Raiders,DS,L.Vegas Raiders,DST31,242,,,,
00-0026968,Ryan Succop,K,R.Succop,K14,243.3,K34,360,K32,337
00-0034331,Jaylen Samuels,RB,J.Samuels,RB78,243.5,RB82,267,RB82,274
88-8888888,Washington Commanders,DS,W.Commanders,DST19,243.7,DST18,200,DST17,174
00-0035689,Dawson Knox,TE,D.Knox,TE33,244.5,TE29,230,TE29,228
99-9999999,Marshawn Lynch,RB,M.Lynch,RB89,245,,,,
00-0036389,Jalen Hurts,QB,J.Hurts,QB32,245.5,QB30,228,,
00-0035831,James Robinson,RB,J.Robinson,RB66,245.7,RB67,262.5,RB91,335
99-9999999,Justin Rohrwasser,K,J.Rohrwasser,K31,246,,,,
00-0028118,Tyrod Taylor1,QB,T.Taylor1,QB33,247.5,QB32,242,QB30,239
00-0034159,Will Dissly,TE,W.Dissly,TE27,247.7,TE34,266,TE32,258
00-0024333,Stephen Gostkowski,K,S.Gostkowski,K18,247.7,K28,307,K22,297
00-0026035,Danny Amendola,WR,D.Amendola,WR97,248,WR89,276,WR91,285
00-0025565,Nick Folk,K,N.Folk,K32,249,,,,
99-9999999,Adam Vinatieri,K,A.Vinatieri,K33,250,,,,
88-8888888,Green Bay Packers,DS,G.Bay Packers,DST20,250.3,DST13,220.5,DST24,256
00-0035184,Devine Ozigbo,RB,D.Ozigbo,RB68,250.7,RB93,344,RB88,328
00-0036364,Lynn Bowden,WR,L.Bowden,WR80,251,WR82,217,WR78,217
99-9999999,Max McCaffrey,WR,M.McCaffrey,WR98,251,,,,
00-0035527,Andy Isabella,WR,A.Isabella,WR99,252,WR86,253,WR87,255
00-0033885,David Njoku,TE,D.Njoku,TE34,253,TE33,258,TE31,257
00-0023682,Ryan Fitzpatrick,QB,R.Fitzpatrick,QB34,253.5,QB31,233,QB29,232
00-0036212,Tua Tagovailoa,QB,T.Tagovailoa,QB29,254.3,QB28,225.5,QB34,304
00-0034838,Royce Freeman,RB,R.Freeman,RB79,255.5,RB77,234,RB76,236
99-9999999,Andrew Luck,QB,A.Luck,QB38,256,,,,
00-0033943,Josh Reynolds,WR,J.Reynolds,WR100,257,WR88,262,WR86,254
00-0033376,Patrick Ricard,RB,P.Ricard,RB91,257,,,,
00-0036142,Isaiah Wright,WR,I.Wright,WR101,258,,,,
99-9999999,Mark Sanchez,QB,M.Sanchez,QB39,259,,,,
00-0032741,Peyton Barber,RB,P.Barber,RB80,259,RB88,304,RB86,300
00-0030288,Rex Burkhead,RB,R.Burkhead,RB81,259.5,RB86,296,RB84,286
00-0033564,Jake Butt,TE,J.Butt,TE45,260,,,,
88-8888888,Detroit Lions,DS,D.Lions,DST24,260,DST21,222,DST20,208
00-0035232,Dwayne Haskins,QB,D.Haskins,QB30,261.3,QB33,282,QB31,264
00-0032087,Josh Lambo,K,J.Lambo,K19,261.7,K29,312,K24,302
00-0035192,Joey Slye,K,J.Slye,K22,262.5,K22,283,K18,273
88-8888888,New York Jets,DS,N.York Jets,DST25,263,DST22,236,DST22,241
00-0032134,C.J. Uzomah,TE,C.Uzomah,TE35,263,TE31,238,,
00-0023500,Frank Gore,RB,F.Gore,RB82,264,RB78,247,RB68,210
99-9999999,Javon Leake,RB,J.Leake,RB92,264,,,,
00-0035849,Rodrigo Blankenship,K,R.Blankenship,K20,266,K36,374,K35,343
00-0030470,Vance McDonald,TE,V.McDonald,TE36,267,TE37,295,TE37,294
00-0033958,Nathan Peterman,QB,N.Peterman,QB40,267,,,,
00-0035480,Malik Taylor,WR,M.Taylor,WR102,268,,,,
00-0030549,Tyler Eifert,TE,T.Eifert,TE29,268,TE27,214,TE25,199
